"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"2016-03-19","Argentina-Entre_Rios","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Entre_Rios","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Entre_Rios","province","cumulative_cases_under_study","AR0005",NA,NA,"28","cases"
"2016-03-19","Argentina-Entre_Rios","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Formosa","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Formosa","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Formosa","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Formosa","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Formosa","province","cumulative_cases_under_study","AR0005",NA,NA,"8","cases"
"2016-03-19","Argentina-Formosa","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Jujuy","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Jujuy","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Jujuy","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Jujuy","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Jujuy","province","cumulative_cases_under_study","AR0005",NA,NA,"245","cases"
"2016-03-19","Argentina-Jujuy","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Pampa","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Pampa","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Pampa","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Pampa","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Pampa","province","cumulative_cases_under_study","AR0005",NA,NA,"2","cases"
"2016-03-19","Argentina-La_Pampa","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Rioja","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Rioja","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Rioja","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Rioja","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-La_Rioja","province","cumulative_cases_under_study","AR0005",NA,NA,"3","cases"
"2016-03-19","Argentina-La_Rioja","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Mendoza","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Mendoza","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Mendoza","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"1","cases"
"2016-03-19","Argentina-Mendoza","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Mendoza","province","cumulative_cases_under_study","AR0005",NA,NA,"12","cases"
"2016-03-19","Argentina-Mendoza","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Misiones","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Misiones","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Misiones","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Misiones","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Misiones","province","cumulative_cases_under_study","AR0005",NA,NA,"6","cases"
"2016-03-19","Argentina-Misiones","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Neuquen","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Neuquen","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Neuquen","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Neuquen","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Neuquen","province","cumulative_cases_under_study","AR0005",NA,NA,"16","cases"
"2016-03-19","Argentina-Neuquen","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Rio_Negro","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Rio_Negro","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Rio_Negro","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Rio_Negro","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Rio_Negro","province","cumulative_cases_under_study","AR0005",NA,NA,"5","cases"
"2016-03-19","Argentina-Rio_Negro","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Salta","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Salta","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Salta","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Salta","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Salta","province","cumulative_cases_under_study","AR0005",NA,NA,"61","cases"
"2016-03-19","Argentina-Salta","province","cumulative_cases_discarded","AR0006",NA,NA,"1","cases"
"2016-03-19","Argentina-San_Juan","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Juan","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Juan","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Juan","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Juan","province","cumulative_cases_under_study","AR0005",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Juan","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Luis","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Luis","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Luis","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Luis","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-San_Luis","province","cumulative_cases_under_study","AR0005",NA,NA,"9","cases"
"2016-03-19","Argentina-San_Luis","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Cruz","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Cruz","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Cruz","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Cruz","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Cruz","province","cumulative_cases_under_study","AR0005",NA,NA,"7","cases"
"2016-03-19","Argentina-Santa_Cruz","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Fe","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Fe","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Fe","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Fe","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Santa_Fe","province","cumulative_cases_under_study","AR0005",NA,NA,"15","cases"
"2016-03-19","Argentina-Santa_Fe","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Sgo_Del_Estero","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Sgo_Del_Estero","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Sgo_Del_Estero","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Sgo_Del_Estero","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Sgo_Del_Estero","province","cumulative_cases_under_study","AR0005",NA,NA,"4","cases"
"2016-03-19","Argentina-Sgo_Del_Estero","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Tierra_del_Fuego","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Tierra_del_Fuego","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Tierra_del_Fuego","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Tierra_del_Fuego","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Tierra_del_Fuego","province","cumulative_cases_under_study","AR0005",NA,NA,"0","cases"
"2016-03-19","Argentina-Tierra_del_Fuego","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_confirmed_local_cases","AR0001",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_probable_local_cases","AR0002",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_confirmed_imported_cases","AR0003",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_probable_imported_cases","AR0004",NA,NA,"0","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_cases_under_study","AR0005",NA,NA,"36","cases"
"2016-03-19","Argentina-Tucuman","province","cumulative_cases_discarded","AR0006",NA,NA,"0","cases"
